Name,Age,Gender,Test 1,Test 2,Test 3,Height,Weight,Average
Name1,56,Male,79.33,98.0,81.0,174.8368888888889,54.0,89.5
Name2,46,Female,79.33,91.0,98.0,185.0,51.0,94.5
Name3,32,Male,95.0,77.0,82.0,154.0,95.0,84.66666666666667
Name4,25,Female,94.0,76.0,89.0,188.0,73.0,86.33333333333333
Name5,38,Male,91.0,93.0,79.10422222222222,155.0,67.0,92.0
Name6,56,Male,99.0,98.0,77.0,194.0,76.0,91.33333333333333
Name7,36,Male,83.0,66.0,69.0,185.0,73.0,72.66666666666667
Name8,40,Female,76.0,94.0,98.0,194.0,78.0,89.33333333333333
Name9,28,Male,79.33,89.0,89.0,153.0,60.0,89.0
Name10,28,Female,79.33,71.0,85.0,159.0,97.0,78.0
Name11,41,Male,94.0,94.0,66.0,150.0,67.0,84.66666666666667
Name12,53,Female,91.0,70.0,66.0,170.0,74.25822222222222,75.66666666666667
Name13,57,Female,95.0,63.0,64.0,189.0,53.0,74.0
Name14,41,Female,72.0,84.0,60.0,188.0,82.0,72.0
Name15,20,Female,65.0,91.0,77.0,186.0,63.0,77.66666666666667
Name16,39,Female,73.0,79.0,72.0,152.0,93.0,74.66666666666667
Name17,19,Female,79.33,90.0,84.0,196.0,91.0,87.0
Name18,41,Female,74.0,63.0,99.0,180.0,81.0,78.66666666666667
Name19,47,Male,63.0,97.0,67.0,176.0,53.0,75.66666666666667
Name20,55,Female,99.0,60.0,69.0,166.0,69.0,76.0
Name21,19,Female,75.0,62.0,91.0,172.0,70.0,76.0
Name22,38,Female,87.0,96.0,79.10422222222222,162.0,52.0,91.5
Name23,50,Female,75.0,81.0,97.0,196.0,74.0,84.33333333333333
Name24,29,Female,63.0,76.0,74.0,176.0,53.0,71.0
Name25,39,Male,85.0,79.54311111111112,74.0,169.0,96.0,79.5
Name26,42,Female,87.0,94.0,99.0,195.0,60.0,93.33333333333333
Name27,44,Female,91.0,72.0,79.0,162.0,65.0,80.66666666666667
Name28,59,Male,61.0,94.0,74.0,193.0,85.0,76.33333333333333
Name29,45,Female,90.0,79.54311111111112,94.0,173.0,55.0,92.0
Name30,33,Female,62.0,72.0,65.0,190.0,80.0,66.33333333333333
Name31,32,Male,67.0,75.0,89.0,152.0,89.0,77.0
Name32,20,Male,83.0,77.0,67.0,192.0,62.0,75.66666666666667
Name33,54,Female,74.0,79.54311111111112,79.10422222222222,159.0,72.0,74.0
Name34,24,Female,79.33,95.0,91.0,150.0,74.25822222222222,93.0
Name35,38,Female,68.0,79.54311111111112,74.0,198.0,86.0,71.0
Name36,26,Male,98.0,66.0,77.0,162.0,91.0,80.33333333333333
Name37,56,Male,61.0,74.0,72.0,163.0,86.0,69.0
Name38,35,Male,67.0,79.54311111111112,83.0,182.0,93.0,75.0
Name39,21,Male,66.0,78.0,99.0,151.0,74.25822222222222,81.0
Name40,42,Male,98.0,96.0,73.0,151.0,91.0,89.0
Name41,31,Male,79.33,61.0,87.0,188.0,78.0,74.0
Name42,26,Male,94.0,79.54311111111112,70.0,190.0,86.0,82.0
Name43,43,Female,89.0,99.0,65.0,180.0,68.0,84.33333333333333
Name44,19,Female,69.0,90.0,84.0,153.0,69.0,81.0
Name45,37,Female,97.0,79.54311111111112,60.0,183.0,81.0,78.5
Name46,45,Male,77.0,65.0,84.0,168.0,74.25822222222222,75.33333333333333
Name47,24,Female,64.0,87.0,61.0,186.0,65.0,70.66666666666667
Name48,25,Female,88.0,91.0,91.0,158.0,54.0,90.0
Name49,52,Female,98.0,69.0,79.10422222222222,173.0,98.0,83.5
Name50,31,Female,93.0,77.0,92.0,162.0,74.25822222222222,87.33333333333333
Name51,34,Female,79.33,79.54311111111112,91.0,193.0,61.0,91.0
Name52,53,Female,64.0,79.54311111111112,83.0,179.0,94.0,73.5
Name53,57,Female,89.0,66.0,86.0,168.0,74.25822222222222,80.33333333333333
Name54,21,Male,65.0,67.0,63.0,190.0,63.0,65.0
Name55,19,Female,63.0,66.0,83.0,159.0,86.0,70.66666666666667
Name56,23,Female,88.0,99.0,82.0,191.0,71.0,89.66666666666667
Name57,59,Female,82.0,62.0,88.0,193.0,74.25822222222222,77.33333333333333
Name58,21,Female,65.0,76.0,93.0,163.0,72.0,78.0
Name59,46,Male,91.0,61.0,80.0,189.0,54.0,77.33333333333333
Name60,35,Female,77.0,74.0,89.0,174.8368888888889,74.25822222222222,80.0
Name61,43,Male,74.0,79.54311111111112,85.0,198.0,74.25822222222222,79.5
Name62,51,Male,79.33,81.0,79.0,169.0,67.0,80.0
Name63,27,Female,91.0,63.0,75.0,153.0,95.0,76.33333333333333
Name64,53,Female,68.0,65.0,62.0,187.0,99.0,65.0
Name65,31,Female,79.33,97.0,96.0,193.0,74.25822222222222,96.5
Name66,48,Female,69.0,85.0,99.0,174.8368888888889,88.0,84.33333333333333
Name67,32,Male,79.0,79.54311111111112,84.0,188.0,74.25822222222222,81.5
Name68,25,Male,65.0,85.0,82.0,154.0,52.0,77.33333333333333
Name69,31,Female,62.0,76.0,60.0,191.0,91.0,66.0
Name70,40,Female,70.0,83.0,92.0,181.0,56.0,81.66666666666667
Name71,57,Female,79.33,87.0,74.0,155.0,76.0,80.5
Name72,38,Female,91.0,94.0,76.0,163.0,77.0,87.0
Name73,33,Female,63.0,90.0,93.0,174.8368888888889,93.0,82.0
Name74,35,Female,63.0,72.0,79.10422222222222,163.0,80.0,67.5
Name75,41,Male,76.0,94.0,63.0,161.0,64.0,77.66666666666667
Name76,43,Male,79.33,75.0,72.0,176.0,97.0,73.5
Name77,42,Female,64.0,74.0,63.0,175.0,57.0,67.0
Name78,58,Male,91.0,77.0,66.0,161.0,55.0,78.0
Name79,46,Male,81.0,96.0,68.0,157.0,77.0,81.66666666666667
Name80,32,Male,65.0,86.0,82.0,159.0,53.0,77.66666666666667
Name81,18,Female,94.0,79.54311111111112,92.0,174.8368888888889,79.0,93.0
Name82,42,Male,81.0,94.0,92.0,175.0,92.0,89.0
Name83,24,Female,60.0,87.0,79.0,157.0,66.0,75.33333333333333
Name84,26,Female,79.0,98.0,63.0,190.0,83.0,80.0
Name85,41,Female,81.0,97.0,60.0,194.0,55.0,79.33333333333333
Name86,18,Female,70.0,79.54311111111112,93.0,178.0,85.0,81.5
Name87,25,Female,72.0,71.0,86.0,169.0,84.0,76.33333333333333
Name88,41,Female,62.0,74.0,80.0,166.0,88.0,72.0
Name89,28,Female,68.0,80.0,83.0,168.0,88.0,77.0
Name90,34,Male,71.0,94.0,74.0,174.8368888888889,74.25822222222222,79.66666666666667
